index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors
279,Supersonic,2016,7.9,1,0,0,0,Mat Whitecross
280,The Edge of Democracy,2019,7.1,1,0,0,0,Petra Costa
281,The Polar Express,2004,6.6,1,0,0,0,Robert Zemeckis
282,Under the Skin,2014,6.3,1,0,0,0,Jonathan Glazer
283,Crip Camp: A Disability Revolution,2020,7.8,1,0,0,0,"James Lebrecht,Nicole Newnham"
284,Tell Me Who I Am,2019,7.6,1,0,0,0,Ed Perkins
285,Hey Arnold! The Jungle Movie,2017,7.6,1,1,0,0,"Raymie Muzquiz,Stu Livingston"
286,Zack and Miri Make a Porno,2008,6.5,1,0,0,0,Kevin Smith
287,The Score,2001,6.8,1,0,1,0,Frank Oz
288,Hamburger Hill,1987,6.7,1,0,1,0,John Irvin
289,9,2009,7.1,1,0,0,0,Shane Acker
290,Undefeated,2011,7.7,1,0,0,0,"Daniel Lindsay,T.J. Martin"
291,Team Foxcatcher,2016,7.3,1,0,0,0,Jon Greenhalgh
292,A Shaun the Sheep Movie: Farmageddon,2019,6.9,1,0,0,0,"Will Becher,Richard Phelan"
293,April and the Extraordinary World,2015,7.3,1,0,0,0,"Christian Desmares,Franck Ekinci"
294,The Highwaymen,2019,6.9,1,0,0,0,John Lee Hancock
295,Legend,2015,6.9,1,0,0,0,Brian Helgeland
296,Boy & the World,2014,7.6,1,0,0,0,Alê Abreu
297,Creep 2,2017,6.4,1,0,0,0,Patrick Brice
298,Terminator 3: Rise of the Machines,2003,6.3,1,0,0,0,Jonathan Mostow
299,Unrest,2017,7.7,1,0,0,0,Jason Todd Ipson
300,Guru,2007,7.7,1,0,0,0,Mani Ratnam
301,Louis C.K. 2017,2017,7.6,1,0,0,0,Louis C.K.
302,A Twelve-Year Night,2018,7.6,1,0,0,0,Álvaro Brechner
303,Happy as Lazzaro,2018,7.6,1,0,0,0,Alice Rohrwacher
304,"What Happened, Miss Simone?",2015,7.6,1,0,0,0,Liz Garbus
305,Blue Jay,2016,7.3,1,0,1,0,Alex Lehmann
306,1922,2017,6.3,1,0,0,0,Zak Hilditch
307,Hancock,2008,6.4,1,0,0,0,Peter Berg
308,Circus of Books,2019,7.1,1,0,0,0,Rachel Mason
309,"Hail, Caesar!",2016,6.3,1,0,0,0,"Ethan Coen,Joel Coen"
310,The Pixar Story,2007,7.8,1,0,0,0,Leslie Iwerks
311,Child's Play,1988,6.6,1,0,1,0,Lars Klevberg
312,Springsteen On Broadway,2018,8.5,1,0,0,0,Thom Zimny
313,The Angry Birds Movie 2,2019,6.4,1,0,0,0,"Thurop Van Orman,John Rice"
314,Obvious Child,2014,6.8,1,0,0,0,Gillian Robespierre
315,Awe!,2018,7.8,1,0,0,0,Prasanth Varma
316,American Honey,2016,7.0,1,0,0,0,Andrea Arnold
317,Last Breath,2019,7.7,1,0,0,0,"Richard da Costa,Alex Parkinson"
318,Udta Punjab,2016,7.8,1,0,0,0,Abhishek Chaubey
